"f2","family","trait_id","trait_name","trait_value"
"915902","9159","14","BW0","0.91"
"915904","9159","14","BW0","1.21"
"915905","9159","14","BW0","1.25"
"915906","9159","14","BW0","1.26"
"915907","9159","14","BW0","0.99"
"915908","9159","14","BW0","1.29"
"915909","9159","14","BW0","1.21"
"915910","9159","14","BW0","1.14"
"915912","9159","14","BW0","1.36"
"916101","9161","14","BW0","1.66"
"916102","9161","14","BW0","1.43"
"916103","9161","14","BW0","1.6"
"916104","9161","14","BW0","1.44"
"916106","9161","14","BW0","1.39"
"916108","9161","14","BW0","1.48"
"916110","9161","14","BW0","1.24"
"916112","9161","14","BW0","1.38"
"916114","9161","14","BW0","1.74"
"916302","9163","14","BW0","1.1"
"916303","9163","14","BW0","1.39"
"916304","9163","14","BW0","1.27"
"916307","9163","14","BW0","1.49"
"916308","9163","14","BW0","1.31"
"916309","9163","14","BW0","1.77"
"916310","9163","14","BW0","1.32"
"916311","9163","14","BW0","1.44"
"916313","9163","14","BW0","1.08"
"916802","9168","14","BW0","1.15"
"916803","9168","14","BW0","1.63"
"916805","9168","14","BW0","1.62"
"916809","9168","14","BW0","1.76"
"916901","9169","14","BW0","1.66"
"916902","9169","14","BW0","1.37"
"916904","9169","14","BW0","1.54"
"916906","9169","14","BW0","1.29"
"917101","9171","14","BW0","1.29"
"917102","9171","14","BW0","1.65"
"917103","9171","14","BW0","1.08"
"917104","9171","14","BW0","1.24"
"917105","9171","14","BW0","0.7"
"917107","9171","14","BW0","0.86"
"917108","9171","14","BW0","1.1"
"917110","9171","14","BW0","0.92"
"917114","9171","14","BW0","1.12"
"918601","9186","14","BW0","0.95"
"918602","9186","14","BW0","0.89"
"918603","9186","14","BW0","0.93"
"918604","9186","14","BW0","0.68"
"918605","9186","14","BW0","0.76"
"918606","9186","14","BW0","0.92"
"918607","9186","14","BW0","1.03"
"918608","9186","14","BW0","1.26"
"918609","9186","14","BW0","1.22"
"918611","9186","14","BW0","0.98"
"918612","9186","14","BW0","1.08"
"918701","9187","14","BW0","1.15"
"918703","9187","14","BW0","1.65"
"918704","9187","14","BW0","1.15"
"918706","9187","14","BW0","1.65"
"918707","9187","14","BW0","1.48"
"918708","9187","14","BW0","1.52"
"918801","9188","14","BW0","1.25"
"918803","9188","14","BW0","1.43"
"918804","9188","14","BW0","0.94"
"918805","9188","14","BW0","1.35"
"918807","9188","14","BW0","1.27"
"919301","9193","14","BW0","1.13"
"919302","9193","14","BW0","1.13"
"919303","9193","14","BW0","1.03"
"919304","9193","14","BW0","1.16"
"919306","9193","14","BW0","0.88"
"919307","9193","14","BW0","0.72"
"919308","9193","14","BW0","0.89"
"919601","9196","14","BW0","1.31"
"919602","9196","14","BW0","1.15"
"919603","9196","14","BW0","1.13"
"919605","9196","14","BW0","1.33"
"919609","9196","14","BW0","1.31"
"919801","9198","14","BW0","1.61"
"919802","9198","14","BW0","1.33"
"919803","9198","14","BW0","1.4"
"919805","9198","14","BW0","1.74"
"919807","9198","14","BW0","1.42"
"919808","9198","14","BW0","1.41"
"919809","9198","14","BW0","1.19"
"920101","9201","14","BW0","0.65"
"920102","9201","14","BW0","1.25"
"920103","9201","14","BW0","1.02"
"920104","9201","14","BW0","1.13"
"920105","9201","14","BW0","1.09"
"920105","9201","14","BW0","1.3"
"920111","9201","14","BW0","1.15"
"920115","9201","14","BW0","1.04"
"920801","9208","14","BW0","1.37"
"920802","9208","14","BW0","1.37"
"920803","9208","14","BW0","1.11"
"920805","9208","14","BW0","1.16"
"920806","9208","14","BW0","1.39"
"920807","9208","14","BW0","1.29"
"920810","9208","14","BW0","1.54"
"925902","9259","14","BW0","1.06"
"925903","9259","14","BW0","1.13"
"925904","9259","14","BW0","1.11"
"925905","9259","14","BW0","1.2"
"925906","9259","14","BW0","1.12"
"925908","9259","14","BW0","1.06"
"925910","9259","14","BW0","1.05"
"925911","9259","14","BW0","1"
"925912","9259","14","BW0","1.1"
"925913","9259","14","BW0","1.24"
"925914","9259","14","BW0","0.9"
"928301","9283","14","BW0","1.21"
"928302","9283","14","BW0","1.18"
"928303","9283","14","BW0","1.19"
"928304","9283","14","BW0","1.37"
"928305","9283","14","BW0","1.29"
"928306","9283","14","BW0","0.87"
"928307","9283","14","BW0","1.26"
"928308","9283","14","BW0","1.15"
"928309","9283","14","BW0","1.19"
"928310","9283","14","BW0","1.28"
"928316","9283","14","BW0","1.22"
"929203","9292","14","BW0","0.98"
"929204","9292","14","BW0","0.9"
"929205","9292","14","BW0","1.07"
"929206","9292","14","BW0","1.08"
"929207","9292","14","BW0","0.77"
"929208","9292","14","BW0","0.9"
"929209","9292","14","BW0","0.8"
"929210","9292","14","BW0","0.92"
"929212","9292","14","BW0","0.87"
"929214","9292","14","BW0","0.54"
"929216","9292","14","BW0","0.8"
"929218","9292","14","BW0","0.89"
"929601","9296","14","BW0","1.4"
"929602","9296","14","BW0","1.4"
"929603","9296","14","BW0","1.22"
"929604","9296","14","BW0","1.31"
"929606","9296","14","BW0","1.33"
"929608","9296","14","BW0","1.56"
"929610","9296","14","BW0","1.28"
"929612","9296","14","BW0","1.29"
"929701","9297","14","BW0","1.44"
"929702","9297","14","BW0","1.8"
"929703","9297","14","BW0","1.35"
"929704","9297","14","BW0","1.18"
"929705","9297","14","BW0","1.4"
"929707","9297","14","BW0","0.82"
"929708","9297","14","BW0","1.38"
"929801","9298","14","BW0","1.08"
"929802","9298","14","BW0","1.28"
"929803","9298","14","BW0","1.32"
"929805","9298","14","BW0","1.21"
"929806","9298","14","BW0","1.09"
"929808","9298","14","BW0","1.34"
"929810","9298","14","BW0","1.23"
"929812","9298","14","BW0","1.25"
"930101","9301","14","BW0","1.19"
"930102","9301","14","BW0","0.78"
"930103","9301","14","BW0","0.91"
"930105","9301","14","BW0","1.59"
"930106","9301","14","BW0","1.07"
"930107","9301","14","BW0","1.7"
"930802","9308","14","BW0","1.23"
"930804","9308","14","BW0","0.92"
"930805","9308","14","BW0","1.12"
"930806","9308","14","BW0","1.08"
"930807","9308","14","BW0","1.24"
"930808","9308","14","BW0","0.94"
"930809","9308","14","BW0","0.97"
"930810","9308","14","BW0","1.08"
"930811","9308","14","BW0","0.89"
"930813","9308","14","BW0","1.04"
"931301","9313","14","BW0","1.24"
"931302","9313","14","BW0","0.78"
"931303","9313","14","BW0","1.42"
"931305","9313","14","BW0","1.41"
"931306","9313","14","BW0","1.33"
"931308","9313","14","BW0","1.14"
"931401","9314","14","BW0","1.25"
"931403","9314","14","BW0","1.14"
"931404","9314","14","BW0","1.18"
"931405","9314","14","BW0","1.31"
"931406","9314","14","BW0","1.2"
"931407","9314","14","BW0","1.21"
"931408","9314","14","BW0","1.19"
"931410","9314","14","BW0","1.13"
"931412","9314","14","BW0","0.84"
"931801","9318","14","BW0","1.21"
"931802","9318","14","BW0","0.9"
"931804","9318","14","BW0","1.02"
"931805","9318","14","BW0","0.9"
"931806","9318","14","BW0","0.97"
"931808","9318","14","BW0","1.07"
"931809","9318","14","BW0","0.66"
"932301","9323","14","BW0","1.12"
"932302","9323","14","BW0","1.32"
"932304","9323","14","BW0","1.08"
"932305","9323","14","BW0","0.76"
"932306","9323","14","BW0","1.08"
"932307","9323","14","BW0","1.08"
"932401","9324","14","BW0","1.34"
"932402","9324","14","BW0","1.1"
"932403","9324","14","BW0","1.31"
"932404","9324","14","BW0","1.24"
"932406","9324","14","BW0","1.45"
"932408","9324","14","BW0","1.65"
"932410","9324","14","BW0","1.45"
"932412","9324","14","BW0","1.28"
"932701","9327","14","BW0","1.5"
"932702","9327","14","BW0","1.6"
"932703","9327","14","BW0","1.42"
"932706","9327","14","BW0","1.71"
"932708","9327","14","BW0","1.5"
"932801","9328","14","BW0","0.9"
"932802","9328","14","BW0","1.2"
"932804","9328","14","BW0","1.11"
"932806","9328","14","BW0","1.22"
"932808","9328","14","BW0","1.03"
"932901","9329","14","BW0","1.08"
"932902","9329","14","BW0","1.14"
"932904","9329","14","BW0","0.96"
"932905","9329","14","BW0","1.13"
"932907","9329","14","BW0","1.28"
"932908","9329","14","BW0","1.17"
"933101","9331","14","BW0","0.92"
"933102","9331","14","BW0","1.31"
"933103","9331","14","BW0","0.43"
"933104","9331","14","BW0","1.15"
"933106","9331","14","BW0","1.32"
"933108","9331","14","BW0","1"
"933110","9331","14","BW0","1.31"
"933112","9331","14","BW0","1.14"
"933114","9331","14","BW0","0.49"
"933201","9332","14","BW0","1.36"
"933202","9332","14","BW0","1.2"
"933203","9332","14","BW0","1.28"
"933204","9332","14","BW0","1.12"
"1000801","10008","14","BW0","0.94"
"1000802","10008","14","BW0","0.44"
"1000803","10008","14","BW0","0.9"
"1000804","10008","14","BW0","0.84"
"1000807","10008","14","BW0","0.91"
"1000808","10008","14","BW0","0.92"
"1000810","10008","14","BW0","1.18"
"1000812","10008","14","BW0","1.15"
"1001101","10011","14","BW0","1.27"
"1001102","10011","14","BW0","0.98"
"1001103","10011","14","BW0","1.17"
"1001104","10011","14","BW0","1.31"
"1001105","10011","14","BW0","1.18"
"1001106","10011","14","BW0","1.15"
"1001107","10011","14","BW0","1.13"
"1001108","10011","14","BW0","1.38"
"1001109","10011","14","BW0","1.33"
"1001111","10011","14","BW0","1.13"
"1001113","10011","14","BW0","1.15"
"1001301","10013","14","BW0","1.32"
"1001302","10013","14","BW0","1.3"
"1001303","10013","14","BW0","1"
"1001304","10013","14","BW0","1.01"
"1001305","10013","14","BW0","1.1"
"1001307","10013","14","BW0","1.18"
"1001309","10013","14","BW0","1.01"
"1001311","10013","14","BW0","1.48"
"1001313","10013","14","BW0","1.2"
"1003102","10031","14","BW0","1.21"
"1003104","10031","14","BW0","0.76"
"1003106","10031","14","BW0","1.23"
"1003108","10031","14","BW0","1.17"
"1003110","10031","14","BW0","1.39"
"1003114","10031","14","BW0","0.9"
"1003701","10037","14","BW0","1.43"
"1003702","10037","14","BW0","1.55"
"1003703","10037","14","BW0","1.58"
"1003705","10037","14","BW0","1.23"
"1003707","10037","14","BW0","1.41"
"1004401","10044","14","BW0","1.33"
"1004402","10044","14","BW0","1.16"
"1004403","10044","14","BW0","1.45"
"1006705","10067","14","BW0","1.2"
"1006902","10069","14","BW0","1.15"
"1006903","10069","14","BW0","1.7"
"1006905","10069","14","BW0","1.12"
"1006906","10069","14","BW0","0.72"
"1006908","10069","14","BW0","1.7"
"1006909","10069","14","BW0","1.1"
"1006911","10069","14","BW0","1.48"
"1007201","10072","14","BW0","1.37"
"1007202","10072","14","BW0","1.29"
"1007204","10072","14","BW0","1.07"
"1007206","10072","14","BW0","0.95"
"1007207","10072","14","BW0","1.31"
"1007208","10072","14","BW0","0.92"
"1007213","10072","14","BW0","1.25"
"1007902","10079","14","BW0","1.64"
"1007913","10079","14","BW0","1.89"
"1008001","10080","14","BW0","1.64"
"1008002","10080","14","BW0","1.16"
"1008003","10080","14","BW0","1.02"
"1008004","10080","14","BW0","1.22"
"1008901","10089","14","BW0","1.23"
"1008902","10089","14","BW0","1.33"
"1008903","10089","14","BW0","1.43"
"1008904","10089","14","BW0","1.24"
"1008905","10089","14","BW0","1.2"
"1008906","10089","14","BW0","1.43"
"1008907","10089","14","BW0","1.7"
"1008908","10089","14","BW0","1.13"
"1008909","10089","14","BW0","1.41"
"1008911","10089","14","BW0","1.28"
"1009503","10095","14","BW0","1.48"
"1009505","10095","14","BW0","1.35"
"1009507","10095","14","BW0","1.54"
"1009511","10095","14","BW0","1.57"
"1009702","10097","14","BW0","1.34"
"1009703","10097","14","BW0","1.23"
"1009704","10097","14","BW0","1.81"
"1009705","10097","14","BW0","1.39"
"1009706","10097","14","BW0","1.2"
"1009707","10097","14","BW0","1.41"
"1009708","10097","14","BW0","1.41"
"1009709","10097","14","BW0","1.41"
"1009711","10097","14","BW0","1.72"
"1010601","10106","14","BW0","1.56"
"1010602","10106","14","BW0","1.56"
"1010605","10106","14","BW0","1.67"
"1010606","10106","14","BW0","1.88"
"1012203","10122","14","BW0","1.54"
"1012205","10122","14","BW0","1.06"
"1012207","10122","14","BW0","1.56"
"1012611","10126","14","BW0","1.1"
